site_id,survey_date,pit_tag_id
70397,2023-08-03,900043000236541
70397,2023-08-03,900043000236544
70397,2023-08-03,900043000236562
70397,2023-08-03,900043000236579
70397,2023-08-03,900043000236597
70397,2025-06-27,900043000236541
70397,2025-06-27,900043000236544
70397,2025-06-27,900043000236597
70397,2025-06-27,900043000262988
70397,2025-06-27,900043000263117
70397,2025-06-27,982091077394773
70397,2025-06-27,982091077394843
70397,2025-06-28,900043000236541
70397,2025-06-28,900043000262988
70397,2025-06-28,982091077394762
70397,2025-06-28,982091077394764
70397,2025-06-28,982091077394773
70397,2025-06-28,982091077394822
70397,2025-06-29,900043000236541
70397,2025-06-29,900043000236544
70397,2025-06-29,900043000262902
70397,2025-06-29,900043000262930
70397,2025-06-29,900043000262988
70397,2025-06-29,900043000262990
70397,2025-06-29,900043000263166
70397,2025-06-29,982091077394771
70397,2025-06-29,982091077394790
70397,2025-06-29,982091077394798
